question_id,domain,subcategory,question_type,difficulty,question,key_concepts,roles,content_status
ai-enginee-011,AI Engineering,Embeddings,debugging,medium,Two embedding models have different dimensions. What must change when migrating an existing vector collection?,AI Engineering; Embeddings,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-012,AI Engineering,RAG,design,medium,Your retriever finds relevant chunks but the LLM still invents unsupported facts. How would you isolate and fix the problem?,AI Engineering; RAG; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-013,AI Engineering,Agents,conceptual,medium,An agent repeatedly calls the same tool and never finishes. What safeguards would you add?,AI Engineering; Agents,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-014,AI Engineering,LangGraph,optimization,hard,"How would you route an interview after an excellent, partial, or weak answer?",AI Engineering; LangGraph,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-015,AI Engineering,Evaluation,follow_up,easy,Why is exact-answer matching inappropriate for open-ended technical interviews?,AI Engineering; Evaluation,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-016,AI Engineering,Production AI,scenario,medium,What metrics would you monitor for a production RAG application?,AI Engineering; Production AI; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-017,AI Engineering,Security,practical,medium,How would you prevent an AI agent from leaking another candidate's resume through a tool call?,AI Engineering; Security,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-018,AI Engineering,AI Projects,tradeoff,medium,Explain how you would design an AI application so changing LLM providers does not require rewriting business logic.,AI Engineering; AI Projects,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-019,AI Engineering,LLM Fundamentals,debugging,hard,A model frequently exceeds its context window on long documents. What would you change before moving to a larger-context model?,AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-020,AI Engineering,Embeddings,design,easy,Semantic search returns keyword-related documents but misses the user intent. How would you debug the embedding pipeline? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; Embeddings,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-021,AI Engineering,RAG,conceptual,medium,When would hybrid lexical plus vector retrieval be better than vector-only retrieval?,AI Engineering; RAG; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-022,AI Engineering,Agents,optimization,medium,How would you enforce authorization when an agent has access to multiple tools?,AI Engineering; Agents,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-023,AI Engineering,LangGraph,follow_up,medium,How would checkpointing help a candidate resume an interrupted interview?,AI Engineering; LangGraph,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-024,AI Engineering,Evaluation,scenario,hard,How would you calibrate an LLM judge so easy and hard questions are scored fairly?,AI Engineering; Evaluation,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-025,AI Engineering,Production AI,practical,easy,How would you cache LLM requests while avoiding unsafe or stale responses? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; Production AI,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-026,AI Engineering,Security,tradeoff,medium,A malicious instruction is hidden inside a user resume. How should the AI interviewer treat it? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; Security,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-027,AI Engineering,AI Projects,debugging,medium,An AI project works in a demo but fails on edge cases. How would you build a realistic evaluation dataset? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; AI Projects,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-028,AI Engineering,LLM Fundamentals,design,medium,"A production LLM endpoint is too slow. What would you measure first, and which changes could reduce latency without blindly choosing a smaller model? How would you answer this if the interviewer asked for a concrete production example?",AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-029,AI Engineering,Embeddings,conceptual,hard,Two embedding models have different dimensions. What must change when migrating an existing vector collection? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; Embeddings,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-030,AI Engineering,RAG,optimization,easy,How would you prevent semantically duplicate questions from being selected in two consecutive interview turns?,AI Engineering; RAG,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-031,AI Engineering,Agents,follow_up,medium,When is a deterministic workflow better than an autonomous agent? Give an example from an AI product. How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; Agents,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-032,AI Engineering,LangGraph,scenario,medium,Design the LangGraph state and routing for an adaptive mock interview. How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; LangGraph,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-033,AI Engineering,Evaluation,practical,medium,"A candidate gives a partially correct technical answer. How should an evaluator distinguish correct concepts, omissions, and misconceptions? How would you answer this if the interviewer asked for a concrete production example?",AI Engineering; Evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-034,AI Engineering,Production AI,tradeoff,hard,What metrics would you monitor for a production RAG application? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; Production AI; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-035,AI Engineering,Security,debugging,easy,How would you prevent an AI agent from leaking another candidate's resume through a tool call? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; Security,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-036,AI Engineering,AI Projects,design,medium,Explain how you would design an AI application so changing LLM providers does not require rewriting business logic. How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; AI Projects,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-037,AI Engineering,LLM Fundamentals,conceptual,medium,Two models have similar quality but one costs four times more. How would you choose between them for a fresher-facing product? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-038,AI Engineering,Embeddings,optimization,medium,Semantic search returns keyword-related documents but misses the user intent. How would you debug the embedding pipeline? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; Embeddings,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-039,AI Engineering,RAG,follow_up,hard,"Design a RAG pipeline for an interview-preparation platform from ingestion through retrieval, reranking, generation, and evaluation. How would you answer this if the interviewer asked for a concrete production example?",AI Engineering; RAG; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-040,AI Engineering,Agents,scenario,easy,An agent repeatedly calls the same tool and never finishes. What safeguards would you add? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; Agents,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-041,AI Engineering,LangGraph,practical,medium,"How would you route an interview after an excellent, partial, or weak answer? How would you answer this if the interviewer asked for a concrete production example?",AI Engineering; LangGraph,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-042,AI Engineering,Evaluation,tradeoff,medium,Why is exact-answer matching inappropriate for open-ended technical interviews? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; Evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-043,AI Engineering,Production AI,debugging,medium,How would you cache LLM requests while avoiding unsafe or stale responses? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; Production AI,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-044,AI Engineering,Security,design,hard,A malicious instruction is hidden inside a user resume. How should the AI interviewer treat it? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; Security,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-045,AI Engineering,AI Projects,conceptual,easy,An AI project works in a demo but fails on edge cases. How would you build a realistic evaluation dataset? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; AI Projects,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-046,AI Engineering,LLM Fundamentals,optimization,medium,A model frequently exceeds its context window on long documents. What would you change before moving to a larger-context model? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-047,AI Engineering,Embeddings,follow_up,medium,Two embedding models have different dimensions. What must change when migrating an existing vector collection? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; Embeddings,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-048,AI Engineering,RAG,scenario,medium,Your retriever finds relevant chunks but the LLM still invents unsupported facts. How would you isolate and fix the problem? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; RAG; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-049,AI Engineering,Agents,practical,hard,How would you enforce authorization when an agent has access to multiple tools? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; Agents,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-050,AI Engineering,LangGraph,tradeoff,easy,How would checkpointing help a candidate resume an interrupted interview? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; LangGraph,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-051,AI Engineering,Evaluation,debugging,medium,How would you calibrate an LLM judge so easy and hard questions are scored fairly? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; Evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-052,AI Engineering,Production AI,design,medium,What metrics would you monitor for a production RAG application? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; Production AI; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-053,AI Engineering,Security,conceptual,medium,How would you prevent an AI agent from leaking another candidate's resume through a tool call? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; Security,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-054,AI Engineering,AI Projects,optimization,hard,Explain how you would design an AI application so changing LLM providers does not require rewriting business logic. What edge case or failure mode would you test before calling this solution complete?,AI Engineering; AI Projects,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-055,AI Engineering,LLM Fundamentals,follow_up,easy,"A production LLM endpoint is too slow. What would you measure first, and which changes could reduce latency without blindly choosing a smaller model? What edge case or failure mode would you test before calling this solution complete?",AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-056,AI Engineering,Embeddings,scenario,medium,Semantic search returns keyword-related documents but misses the user intent. How would you debug the embedding pipeline? How would your approach change if the scale or input size became 10x larger?,AI Engineering; Embeddings,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-057,AI Engineering,RAG,practical,medium,When would hybrid lexical plus vector retrieval be better than vector-only retrieval? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; RAG; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-058,AI Engineering,Agents,tradeoff,medium,When is a deterministic workflow better than an autonomous agent? Give an example from an AI product. What edge case or failure mode would you test before calling this solution complete?,AI Engineering; Agents,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-059,AI Engineering,LangGraph,debugging,hard,Design the LangGraph state and routing for an adaptive mock interview. What edge case or failure mode would you test before calling this solution complete?,AI Engineering; LangGraph,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-060,AI Engineering,Evaluation,design,easy,"A candidate gives a partially correct technical answer. How should an evaluator distinguish correct concepts, omissions, and misconceptions? What edge case or failure mode would you test before calling this solution complete?",AI Engineering; Evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-061,AI Engineering,Production AI,conceptual,medium,How would you cache LLM requests while avoiding unsafe or stale responses? How would your approach change if the scale or input size became 10x larger?,AI Engineering; Production AI,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-062,AI Engineering,Security,optimization,medium,A malicious instruction is hidden inside a user resume. How should the AI interviewer treat it? How would your approach change if the scale or input size became 10x larger?,AI Engineering; Security,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-063,AI Engineering,AI Projects,follow_up,medium,An AI project works in a demo but fails on edge cases. How would you build a realistic evaluation dataset? How would your approach change if the scale or input size became 10x larger?,AI Engineering; AI Projects,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-064,AI Engineering,LLM Fundamentals,scenario,hard,Two models have similar quality but one costs four times more. How would you choose between them for a fresher-facing product? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-065,AI Engineering,Embeddings,practical,easy,Two embedding models have different dimensions. What must change when migrating an existing vector collection? How would your approach change if the scale or input size became 10x larger?,AI Engineering; Embeddings,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-066,AI Engineering,RAG,tradeoff,medium,How would you prevent semantically duplicate questions from being selected in two consecutive interview turns? How would you answer this if the interviewer asked for a concrete production example?,AI Engineering; RAG,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-067,AI Engineering,Agents,debugging,medium,An agent repeatedly calls the same tool and never finishes. What safeguards would you add? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; Agents,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-068,AI Engineering,LangGraph,design,medium,"How would you route an interview after an excellent, partial, or weak answer? What edge case or failure mode would you test before calling this solution complete?",AI Engineering; LangGraph,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-069,AI Engineering,Evaluation,conceptual,hard,Why is exact-answer matching inappropriate for open-ended technical interviews? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; Evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-070,AI Engineering,Production AI,optimization,easy,What metrics would you monitor for a production RAG application? How would your approach change if the scale or input size became 10x larger?,AI Engineering; Production AI; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-071,AI Engineering,Security,follow_up,medium,How would you prevent an AI agent from leaking another candidate's resume through a tool call? How would your approach change if the scale or input size became 10x larger?,AI Engineering; Security,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-072,AI Engineering,AI Projects,scenario,medium,Explain how you would design an AI application so changing LLM providers does not require rewriting business logic. How would your approach change if the scale or input size became 10x larger?,AI Engineering; AI Projects,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-073,AI Engineering,LLM Fundamentals,practical,medium,A model frequently exceeds its context window on long documents. What would you change before moving to a larger-context model? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-074,AI Engineering,Embeddings,tradeoff,hard,Semantic search returns keyword-related documents but misses the user intent. How would you debug the embedding pipeline? What trade-off would you explain before choosing this approach?,AI Engineering; Embeddings,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-075,AI Engineering,RAG,debugging,easy,"Design a RAG pipeline for an interview-preparation platform from ingestion through retrieval, reranking, generation, and evaluation. What edge case or failure mode would you test before calling this solution complete?",AI Engineering; RAG; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-076,AI Engineering,Agents,design,medium,How would you enforce authorization when an agent has access to multiple tools? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; Agents,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-077,AI Engineering,LangGraph,conceptual,medium,How would checkpointing help a candidate resume an interrupted interview? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; LangGraph,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-078,AI Engineering,Evaluation,optimization,medium,How would you calibrate an LLM judge so easy and hard questions are scored fairly? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; Evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-079,AI Engineering,LLM Fundamentals,follow_up,hard,"A production LLM endpoint is too slow. What would you measure first, and which changes could reduce latency without blindly choosing a smaller model? How would your approach change if the scale or input size became 10x larger?",AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-080,AI Engineering,RAG,scenario,easy,Your retriever finds relevant chunks but the LLM still invents unsupported facts. How would you isolate and fix the problem? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; RAG; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-081,AI Engineering,Agents,practical,medium,When is a deterministic workflow better than an autonomous agent? Give an example from an AI product. How would your approach change if the scale or input size became 10x larger?,AI Engineering; Agents,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-082,AI Engineering,LangGraph,tradeoff,medium,Design the LangGraph state and routing for an adaptive mock interview. How would your approach change if the scale or input size became 10x larger?,AI Engineering; LangGraph,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-083,AI Engineering,Evaluation,debugging,medium,"A candidate gives a partially correct technical answer. How should an evaluator distinguish correct concepts, omissions, and misconceptions? How would your approach change if the scale or input size became 10x larger?",AI Engineering; Evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-084,AI Engineering,LLM Fundamentals,design,hard,Two models have similar quality but one costs four times more. How would you choose between them for a fresher-facing product? How would your approach change if the scale or input size became 10x larger?,AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-085,AI Engineering,RAG,conceptual,easy,When would hybrid lexical plus vector retrieval be better than vector-only retrieval? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; RAG; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-086,AI Engineering,Agents,optimization,medium,An agent repeatedly calls the same tool and never finishes. What safeguards would you add? How would your approach change if the scale or input size became 10x larger?,AI Engineering; Agents,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-087,AI Engineering,LangGraph,follow_up,medium,"How would you route an interview after an excellent, partial, or weak answer? How would your approach change if the scale or input size became 10x larger?",AI Engineering; LangGraph,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-088,AI Engineering,Evaluation,scenario,medium,Why is exact-answer matching inappropriate for open-ended technical interviews? How would your approach change if the scale or input size became 10x larger?,AI Engineering; Evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-089,AI Engineering,LLM Fundamentals,practical,hard,A model frequently exceeds its context window on long documents. What would you change before moving to a larger-context model? How would your approach change if the scale or input size became 10x larger?,AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-090,AI Engineering,RAG,tradeoff,easy,How would you prevent semantically duplicate questions from being selected in two consecutive interview turns? What edge case or failure mode would you test before calling this solution complete?,AI Engineering; RAG,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-091,AI Engineering,Agents,debugging,medium,How would you enforce authorization when an agent has access to multiple tools? How would your approach change if the scale or input size became 10x larger?,AI Engineering; Agents,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-092,AI Engineering,LangGraph,design,medium,How would checkpointing help a candidate resume an interrupted interview? How would your approach change if the scale or input size became 10x larger?,AI Engineering; LangGraph,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-093,AI Engineering,Evaluation,conceptual,medium,How would you calibrate an LLM judge so easy and hard questions are scored fairly? How would your approach change if the scale or input size became 10x larger?,AI Engineering; Evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-094,AI Engineering,LLM Fundamentals,optimization,hard,"A production LLM endpoint is too slow. What would you measure first, and which changes could reduce latency without blindly choosing a smaller model? What trade-off would you explain before choosing this approach?",AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-095,AI Engineering,RAG,follow_up,easy,"Design a RAG pipeline for an interview-preparation platform from ingestion through retrieval, reranking, generation, and evaluation. How would your approach change if the scale or input size became 10x larger?",AI Engineering; RAG; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-096,AI Engineering,LLM Fundamentals,scenario,medium,Two models have similar quality but one costs four times more. How would you choose between them for a fresher-facing product? What trade-off would you explain before choosing this approach?,AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-097,AI Engineering,RAG,practical,medium,Your retriever finds relevant chunks but the LLM still invents unsupported facts. How would you isolate and fix the problem? How would your approach change if the scale or input size became 10x larger?,AI Engineering; RAG; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-098,AI Engineering,LLM Fundamentals,tradeoff,medium,A model frequently exceeds its context window on long documents. What would you change before moving to a larger-context model? What trade-off would you explain before choosing this approach?,AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-099,AI Engineering,RAG,debugging,hard,When would hybrid lexical plus vector retrieval be better than vector-only retrieval? How would your approach change if the scale or input size became 10x larger?,AI Engineering; RAG; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,expanded
ai-enginee-100,AI Engineering,RAG,design,easy,How would you prevent semantically duplicate questions from being selected in two consecutive interview turns? How would your approach change if the scale or input size became 10x larger?,AI Engineering; RAG,ai_engineer; genai_engineer; software_engineer,expanded
dsa-001,DSA,Arrays,practical,medium,Find two values in an array whose sum equals a target. Explain the hash-map trade-off.,DSA; Arrays; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-002,DSA,Strings,tradeoff,medium,Find the longest substring without repeating characters.,DSA; Strings; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-003,DSA,Two Pointers,debugging,medium,Find three values whose sum is closest to a target.,DSA; Two Pointers; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-004,DSA,Sliding Window,design,hard,Find the longest subarray or substring satisfying a fixed-window constraint.,DSA; Sliding Window; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-005,DSA,Binary Search,conceptual,easy,Find the first and last occurrence of a target in a sorted array with duplicates.,DSA; Binary Search; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-006,DSA,Linked Lists,optimization,medium,Reverse a singly linked list iteratively and recursively.,DSA; Linked Lists; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-007,DSA,Stacks,follow_up,medium,Validate balanced brackets using a stack.,DSA; Stacks; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-008,DSA,Queues,scenario,medium,Implement a queue using two stacks and explain amortized complexity.,DSA; Queues; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-009,DSA,Trees,practical,hard,Find the diameter of a binary tree.,DSA; Trees; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-010,DSA,BST,tradeoff,easy,Find the kth smallest element in a BST.,DSA; BST; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-011,DSA,Heaps,debugging,medium,Find the kth largest element and compare heap and quickselect approaches.,DSA; Heaps; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-012,DSA,Greedy,design,medium,Schedule the maximum number of non-overlapping activities.,DSA; Greedy; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-013,DSA,Graphs,conceptual,medium,Count connected components in an undirected graph.,DSA; Graphs; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-014,DSA,DSU,optimization,hard,Use union-find to detect whether adding an edge creates a cycle.,DSA; DSU; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-015,DSA,DP,follow_up,easy,Solve 0/1 knapsack and identify the state and transition.,DSA; DP; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-016,DSA,Backtracking,scenario,medium,Generate all subsets of a set.,DSA; Backtracking; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-017,DSA,Complexity,practical,medium,"Given nested loops with a halving inner range, derive the time complexity.",DSA; Complexity; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-018,DSA,Interview Reasoning,tradeoff,medium,Your O(n^2) solution is correct but too slow. How would you systematically search for an optimization?,DSA; Interview Reasoning; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-019,DSA,Arrays,debugging,hard,Find the longest consecutive sequence in an unsorted array in expected O(n) time.,DSA; Arrays; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-020,DSA,Strings,design,easy,Find the minimum window containing all characters of another string.,DSA; Strings; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-021,DSA,Two Pointers,conceptual,medium,Find three values whose sum is closest to a target. How would you answer this if the interviewer asked for a concrete production example?,DSA; Two Pointers; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,expanded
dsa-022,DSA,Sliding Window,optimization,medium,Find the longest subarray or substring satisfying a fixed-window constraint. How would you answer this if the interviewer asked for a concrete production example?,DSA; Sliding Window; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,expanded
dsa-023,DSA,Binary Search,follow_up,medium,Search for a target in a rotated sorted array.,DSA; Binary Search; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-024,DSA,Linked Lists,scenario,hard,Detect a cycle and return its entry point.,DSA; Linked Lists; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-025,DSA,Stacks,practical,easy,Find the next greater element for every position.,DSA; Stacks; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,curated
dsa-026,DSA,Queues,tradeoff,medium,Implement a queue using two stacks and explain amortized complexity. How would you answer this if the interviewer asked for a concrete production example?,DSA; Queues; algorithm; complexity,software_engineer; backend_engineer; frontend_engineer; ai_engineer,expanded
